condition_concept_id,concept_name,pt_cnt,mean_change,median_change,sd,ev_density
23325,Heartburn,60,3.268656716,1,3.431122101,3.467741935
23986,Disorder of pituitary gland,23,3.086956522,0,3.907527953,10.30357143
24134,Neck pain,336,3.763888889,2,3.955319711,9.977292576
24609,Hypoglycemia,25,2.580645161,1,3.628590176,3.131782946
25297,Acute pharyngitis,331,3.267045455,1,3.693617299,4.909090909
26662,Testicular hypofunction,31,3.027027027,2,3.198790094,12.28735632
27674,Nausea and vomiting,141,4.4,1,4.652656637,4.34973638
28060,Streptococcal sore throat,51,1.888888889,0,3.590838015,2.830039526
29735,Candidiasis of mouth,22,1.84,0.5,5.865926262,2.76
30437,Gastro-esophageal reflux disease with esophagitis,109,3.512605042,1,3.981950442,4.087774295
30753,Esophagitis,40,3.404761905,1,3.817637879,3.5
31317,Dysphagia,157,3.573033708,1,3.688420023,5.073076923
31610,Disorder of esophagus,51,2.947368421,0,3.558034267,2.408805031
31821,Disorder of endocrine system,27,2.793103448,0,3,4.405940594
31967,Nausea,204,3.292792793,1,4.601086723,4.593575419
72404,Joint stiffness,25,3.481481481,1,4.426435737,5.511627907
72418,Scoliosis deformity of spine,39,2.666666667,1,3.850618192,5.285714286
72711,Shoulder stiff,29,3.5,2,3.78908206,14.44210526
72986,Disorder of lower leg,30,3.181818182,0,3.720245944,5.688073394
72993,"Localized, primary osteoarthritis",55,4.053571429,1,3.279566367,6.989795918
73008,Enthesopathy,63,1.941176471,0,3.360640833,2.78358209
73231,Arthralgia of temporomandibular joint,34,4.058823529,2,3.46525921,3.421568627
73300,Radial styloid tenosynovitis,28,2.333333333,0,5.315819458,5.757281553
73553,Arthropathy,65,2.391304348,1,3.81986206,4.797900262
73560,Calcaneal spur,24,2.75,1,3.575277429,3.453703704
73754,Restless legs,115,3.592,1,3.484234954,8.301960784
73819,Pain of breast,82,1.426966292,0,3.721180536,4.060606061
73840,"Localized, primary osteoarthritis of the shoulder region",112,2.825,1,3.342137665,3.685950413
74125,Inflammatory polyarthropathy,35,3.128205128,2,3.579117773,7.613445378
74130,Thoracic spondylosis without myelopathy,24,2.958333333,1,3.034822059,2.890243902
74132,Degeneration of lumbosacral intervertebral disc,40,3.888888889,1,3.652887864,3.8
74174,Urinary symptoms,26,3.2,0,5.11227783,2.123966942
74396,Temporomandibular joint disorder,32,2.705882353,1,5.405716807,4.148648649
74635,Lumbosacral radiculopathy,41,2.659090909,2,3.330018677,3.980769231
74728,Synovitis and tenosynovitis,44,2.659574468,1,3.433450671,3.355450237
74731,Hypertrophic osteoarthropathy,45,2.541666667,1,3.963214694,3.142857143
74855,Genital herpes simplex,20,3,0.5,3.677456215,5.5
75004,Frank hematuria,50,2.185185185,1,3.037184518,5.524475524
75036,"Localized, primary osteoarthritis of the hand",95,2.01,0,3.048433225,4.74015748
75344,Intervertebral disc disorder,23,1.88,1,3.006580398,3.308823529
75576,Irritable bowel syndrome,136,3.333333333,1,4.218688322,7.697619048
75650,Proteinuria,66,3.746478873,1,4.114248367,7.060606061
75860,Constipation,232,3.449799197,1,4.244414944,4.601029601
75909,Disorder of bone,478,2.895463511,1,3.389112524,6.498455201
75911,Acquired hallux valgus,46,2.416666667,1,2.685800918,4.012048193
76786,Derangement of knee,21,3.04,-1,3.944858015,3.801242236
77030,Disorder of breast,113,2.276422764,0,3.210188427,3.15443038
77074,Joint pain,171,2.72972973,1,3.551227156,5.110275689
77081,Tibialis tendinitis,29,3.166666667,1,2.906591795,4.543478261
77162,Injury of ankle,20,3.045454545,2,3.53776617,1.983606557
77234,Benign neoplasm of colon,97,2.633027523,0,3.366437847,4.187165775
77630,Disorder of shoulder,86,2.820224719,1,3.611597825,3.628647215
