condition_concept_id,concept_name,pt_cnt,mean_change,median_change,sd,ev_density
23325,Heartburn,67,3.268656716,1,3.179394308,3.467741935
23986,Disorder of pituitary gland,21,3.086956522,1,3.653439345,10.30357143
24134,Neck pain,348,3.763888889,2,3.981934219,9.977292576
24609,Hypoglycemia,27,2.580645161,0,4.050957468,3.131782946
25297,Acute pharyngitis,323,3.267045455,0,3.254967256,4.909090909
26662,Testicular hypofunction,32,3.027027027,2.5,4.732246108,12.28735632
27674,Nausea and vomiting,146,4.4,1,4.366018347,4.34973638
28060,Streptococcal sore throat,50,1.888888889,0,3.228002478,2.830039526
30133,Acute laryngitis,20,3,2,3.221637374,1.798076923
30437,Gastro-esophageal reflux disease with esophagitis,108,3.512605042,1,3.589531335,4.087774295
30753,Esophagitis,43,3.404761905,0,2.968270747,3.5
31317,Dysphagia,163,3.573033708,1,3.848568856,5.073076923
31602,Disorder of the larynx,20,1.636363636,0,2.51312345,2.683544304
31610,Disorder of esophagus,52,2.947368421,0,3.432334491,2.408805031
31821,Disorder of endocrine system,27,2.793103448,1,4.358898944,4.405940594
31967,Nausea,191,3.292792793,1,4.347561975,4.593575419
72404,Joint stiffness,21,3.481481481,-1,4.121950532,5.511627907
72418,Scoliosis deformity of spine,38,2.666666667,0,4.018803598,5.285714286
72711,Shoulder stiff,31,3.5,1,3.304282005,14.44210526
72986,Disorder of lower leg,29,3.181818182,1,3.169279883,5.688073394
72993,"Localized, primary osteoarthritis",53,4.053571429,2,2.591433918,6.989795918
73008,Enthesopathy,63,1.941176471,1,3.730007296,2.78358209
73231,Arthralgia of temporomandibular joint,32,4.058823529,2.5,2.634870077,3.421568627
73300,Radial styloid tenosynovitis,28,2.333333333,2,4.429936639,5.757281553
73553,Arthropathy,63,2.391304348,2,3.700237326,4.797900262
73560,Calcaneal spur,23,2.75,0,2.571506994,3.453703704
73754,Restless legs,118,3.592,2,3.2826768,8.301960784
73819,Pain of breast,82,1.426966292,0,3.724395677,4.060606061
73840,"Localized, primary osteoarthritis of the shoulder region",108,2.825,1,2.956181665,3.685950413
74125,Inflammatory polyarthropathy,37,3.128205128,1,3.48506035,7.613445378
74130,Thoracic spondylosis without myelopathy,23,2.958333333,1,3.578040182,2.890243902
74132,Degeneration of lumbosacral intervertebral disc,39,3.888888889,1,3.740575201,3.8
74174,Urinary symptoms,26,3.2,1,4.852279401,2.123966942
74396,Temporomandibular joint disorder,32,2.705882353,0.5,4.069952841,4.148648649
74635,Lumbosacral radiculopathy,35,2.659090909,1,3.150830223,3.980769231
74728,Synovitis and tenosynovitis,41,2.659574468,0,3.526727219,3.355450237
74731,Hypertrophic osteoarthropathy,47,2.541666667,0,3.340248762,3.142857143
74855,Genital herpes simplex,23,3,1,2.147707667,5.5
75004,Frank hematuria,49,2.185185185,2,3.194515922,5.524475524
75036,"Localized, primary osteoarthritis of the hand",96,2.01,0,3.74142294,4.74015748
75344,Intervertebral disc disorder,25,1.88,0,2.920045662,3.308823529
75576,Irritable bowel syndrome,128,3.333333333,0,3.553020438,7.697619048
75650,Proteinuria,64,3.746478873,2,3.458620183,7.060606061
75860,Constipation,218,3.449799197,1,4.065356232,4.601029601
75865,Disorder of the urinary system,22,1.913043478,1,2.40310045,2.822580645
75909,Disorder of bone,480,2.895463511,1,3.344408575,6.498455201
75911,Acquired hallux valgus,44,2.416666667,0.5,3.353392779,4.012048193
76786,Derangement of knee,25,3.04,1,4.806939428,3.801242236
77030,Disorder of breast,107,2.276422764,1,3.355002161,3.15443038
77074,Joint pain,176,2.72972973,1,3.765996186,5.110275689
77079,Spinal stenosis,20,1.947368421,0.5,4.085919339,3.473684211
77081,Tibialis tendinitis,31,3.166666667,1,3.395442866,4.543478261
77162,Injury of ankle,20,3.045454545,0.5,5.014452796,1.983606557
77234,Benign neoplasm of colon,103,2.633027523,1,3.376326583,4.187165775
77630,Disorder of shoulder,88,2.820224719,1,3.337823517,3.628647215
77635,Disorder of hand,66,4.424242424,0,4.595046487,3.924657534
77646,Disorder of bone and articular cartilage,98,2.822429907,1,2.83407477,5.181518152
77670,Chest pain,500,2.787430684,1,3.96358727,7.015243902
77963,Achilles tendinitis,44,2.5,1,3.933108772,5.727941176
77965,Acquired trigger finger,62,2.787878788,2,3.580900034,7.101522843
78200,Benign mammary dysplasia,22,4.375,2,4.360636595,6.96969697
78228,Joint derangement,31,2.833333333,1,4.340110499,4.462121212
78232,Shoulder joint pain,434,3.199143469,1,3.528317078,9.432134996
78472,Microscopic hematuria,51,2.769230769,1,3.415190977,4.578125
78473,Solitary cyst of breast,41,2.159090909,1,3.389726228,2.710382514
78474,Hypertrophy of breast,25,3.612903226,0,2.953528963,4.928
78505,"Localized, primary osteoarthritis of the ankle and/or foot",85,2.717171717,1,3.466243779,3.285087719
78508,Arthralgia of the ankle and/or foot,165,2.924324324,1,3.345215334,5.881773399
78619,Contusion of knee,24,1.962962963,0,3.548575954,2.073770492
78804,Fibrocystic disease of breast,50,2.392156863,1,3.390021371,4.010380623
79145,Ehlers-Danlos syndrome,24,4.703703704,3,4.797342259,37.91111111
79864,Hematuria syndrome,99,2.690909091,1,3.427609293,3.648192771
79908,Muscle weakness,90,3.27173913,1,4.151335089,8.683018868
79916,Acquired hallux rigidus,26,3.115384615,1,2.856571371,4.0125
79917,Acquired deformity of toe,20,2.263157895,1.5,3.252124811,4.253968254
80180,Osteoarthritis,287,3.122580645,1,3.450552593,5.493184634
80187,Medial epicondylitis,22,1.857142857,1,3.053633135,4.514705882
80189,Displacement of lumbar intervertebral disc without myelopathy,23,3,1,4.089898865,4.594117647
80242,Current tear of medial cartilage AND/OR meniscus of knee,43,3.538461538,1,3.490217305,3.905405405
80502,Osteoporosis,236,3.5,1,3.372509299,11.96730769
80767,Breast lump,105,2.315315315,0,3.145378609,5.662316476
80809,Rheumatoid arthritis,65,4.651515152,3,4.10979131,33.19333333
80813,Lumbosacral spondylosis without myelopathy,66,3.135135135,2,3.705851229,4.690140845
80816,Degeneration of intervertebral disc,28,3.193548387,1,3.532726812,4.534883721
80824,Senile osteoporosis,49,3.634615385,1,2.931473591,8.572815534
81151,Sprain of ankle,64,3.027777778,1,3.453165962,4.104712042
81378,Chondromalacia of patella,25,1.666666667,0,3.558089375,3.754010695
81379,Lateral epicondylitis,55,2.393442623,1,3.076138206,5.245421245
81878,Benign paroxysmal positional vertigo,71,2.183098592,0,3.205315003,4.090497738
81893,Ulcerative colitis,21,2.636363636,2,4.854060647,21.16129032
81902,Urinary tract infectious disease,214,3.370535714,1,3.910580193,5.626679463
81931,Psoriasis with arthropathy,23,4.36,4,3.369240071,32.93877551
132706,Disorder of nail,36,3.054054054,0,2.271283813,2.54494382
132736,Bacteremia,23,6.272727273,4,5.891978871,7.929824561
132797,Sepsis,27,4.586206897,2,3.742038081,4.45
133141,Tinea pedis,38,3.046511628,0,3.140725016,2.69375
133280,Alopecia,26,2.620689655,1,4.152663649,3.187134503
133299,Swelling of limb,21,5.375,1,4.422345855,2.640522876
133424,Primary malignant neoplasm of thyroid gland,31,5.303030303,2,4.512348648,38.20634921
133711,Overlapping malignant neoplasm of female breast,27,4.066666667,2,4.514932489,18.88679245
133729,Hyperparathyroidism,42,3.644444444,2.5,4.277334044,13.26363636
133834,Atopic dermatitis,37,2.675,1,3.329051304,5.207100592
133835,Eczema,51,2.1875,0,3.112404026,3.043062201
134118,Atrophic condition of skin,23,4.041666667,1,2.687255826,3.972222222
134159,Precordial pain,40,1.829787234,0,4.095025124,3.186746988
134438,Contact dermatitis,37,1.488372093,0,3.549943958,3.583050847
134460,Plantar fascial fibromatosis,155,3.428571429,1,3.564146745,5.734736842
134668,Chronic maxillary sinusitis,51,4.509090909,1,4.009205095,5.626168224
134681,Diffuse spasm of esophagus,25,3.884615385,1,2.42693222,3.171428571
134718,Hirsutism,25,3.518518519,2,3.291402943,4.277227723
134736,Backache,195,3.171428571,0,3.899904091,5.115718419
134898,Non-toxic uninodular goiter,152,3.518987342,1.5,3.694314681,9.240540541
135030,Discoloration of skin,92,2.610526316,1,2.892132267,3.004555809
135215,Hashimoto thyroiditis,20,3.086956522,2,2.939745782,8.727272727
135287,Non-neoplastic nevus,180,1.937172775,0.5,2.962265268,2.806976744
135618,Pruritic rash,87,2.428571429,1,3.808395459,1.814189189
135777,Neoplasm of uncertain behavior of skin,209,2.246511628,0,3.010188502,4.255319149
