condition_concept_id,concept_name,pt_cnt,mean_change,median_change,sd,ev_density
23325,Heartburn,65,3.268656716,1,2.9816748,3.467741935
23986,Disorder of pituitary gland,21,3.086956522,2,3.182541662,10.30357143
24134,Neck pain,344,3.763888889,1,4.03138326,9.977292576
24609,Hypoglycemia,25,2.580645161,0,3.618471132,3.131782946
25297,Acute pharyngitis,323,3.267045455,1,3.667803371,4.909090909
26662,Testicular hypofunction,31,3.027027027,2,3.568078306,12.28735632
27674,Nausea and vomiting,143,4.4,1,4.453111044,4.34973638
28060,Streptococcal sore throat,48,1.888888889,0,3.24303673,2.830039526
30133,Acute laryngitis,20,3,1.5,3.959000405,1.798076923
30437,Gastro-esophageal reflux disease with esophagitis,107,3.512605042,1,3.897288234,4.087774295
30753,Esophagitis,42,3.404761905,0.5,3.148382325,3.5
31317,Dysphagia,162,3.573033708,1,3.316150791,5.073076923
31610,Disorder of esophagus,51,2.947368421,0,3.280004782,2.408805031
31821,Disorder of endocrine system,27,2.793103448,1,3.675203737,4.405940594
31967,Nausea,191,3.292792793,0,4.158164008,4.593575419
72404,Joint stiffness,21,3.481481481,0,4.188987831,5.511627907
72418,Scoliosis deformity of spine,39,2.666666667,0,3.456106099,5.285714286
72711,Shoulder stiff,31,3.5,1,2.956312728,14.44210526
72986,Disorder of lower leg,29,3.181818182,0,4.145446787,5.688073394
72993,"Localized, primary osteoarthritis",50,4.053571429,1,3.252942153,6.989795918
73008,Enthesopathy,65,1.941176471,0,3.307770572,2.78358209
73231,Arthralgia of temporomandibular joint,31,4.058823529,1,3.082032565,3.421568627
73300,Radial styloid tenosynovitis,26,2.333333333,1,4.629670199,5.757281553
73553,Arthropathy,63,2.391304348,2,3.101293852,4.797900262
73560,Calcaneal spur,23,2.75,1,2.187821123,3.453703704
73754,Restless legs,119,3.592,1,3.526952806,8.301960784
73819,Pain of breast,83,1.426966292,0,3.490341823,4.060606061
73840,"Localized, primary osteoarthritis of the shoulder region",102,2.825,1,2.9126279,3.685950413
74125,Inflammatory polyarthropathy,36,3.128205128,1,4.625241306,7.613445378
74130,Thoracic spondylosis without myelopathy,22,2.958333333,1,3.93920246,2.890243902
74132,Degeneration of lumbosacral intervertebral disc,40,3.888888889,0.5,3.875961419,3.8
74174,Urinary symptoms,24,3.2,1,4.646761378,2.123966942
74396,Temporomandibular joint disorder,29,2.705882353,1,5.596665087,4.148648649
74635,Lumbosacral radiculopathy,38,2.659090909,1.5,3.197171581,3.980769231
74728,Synovitis and tenosynovitis,43,2.659574468,1,3.19589299,3.355450237
74731,Hypertrophic osteoarthropathy,45,2.541666667,0,4.43949219,3.142857143
74855,Genital herpes simplex,22,3,1,2.363594738,5.5
75004,Frank hematuria,51,2.185185185,1,3.300742638,5.524475524
75036,"Localized, primary osteoarthritis of the hand",97,2.01,0,3.492505476,4.74015748
75344,Intervertebral disc disorder,25,1.88,1,3.194787421,3.308823529
75576,Irritable bowel syndrome,133,3.333333333,1,3.57822775,7.697619048
75650,Proteinuria,66,3.746478873,2,3.612204126,7.060606061
75860,Constipation,222,3.449799197,1,4.387455482,4.601029601
75865,Disorder of the urinary system,22,1.913043478,0,2.820764073,2.822580645
75909,Disorder of bone,479,2.895463511,1,3.236696046,6.498455201
75911,Acquired hallux valgus,43,2.416666667,0,2.785025613,4.012048193
76786,Derangement of knee,24,3.04,1,3.63532388,3.801242236
77030,Disorder of breast,109,2.276422764,0,3.0350764,3.15443038
77074,Joint pain,171,2.72972973,1,3.778134911,5.110275689
77081,Tibialis tendinitis,31,3.166666667,0,3.395759531,4.543478261
77162,Injury of ankle,20,3.045454545,2,4.423323352,1.983606557
77234,Benign neoplasm of colon,101,2.633027523,1,4.015687061,4.187165775
77630,Disorder of shoulder,86,2.820224719,0,3.352459946,3.628647215
77635,Disorder of hand,65,4.424242424,2,4.037802144,3.924657534
77646,Disorder of bone and articular cartilage,95,2.822429907,2,2.952972196,5.181518152
