condition_concept_id,concept_name,pt_cnt,mean_change,median_change,sd,ev_density
23325,Heartburn,64,3.268656716,1,3.351697923,3.467741935
23986,Disorder of pituitary gland,23,3.086956522,1,4.133159077,10.30357143
24134,Neck pain,345,3.763888889,2,4.027276815,9.977292576
24609,Hypoglycemia,27,2.580645161,1,4.080737881,3.131782946
25297,Acute pharyngitis,320,3.267045455,1,3.654344261,4.909090909
26662,Testicular hypofunction,34,3.027027027,1,3.242432572,12.28735632
27674,Nausea and vomiting,147,4.4,1,4.41158918,4.34973638
28060,Streptococcal sore throat,49,1.888888889,0,3.156356291,2.830039526
29735,Candidiasis of mouth,23,1.84,-1,3.822649372,2.76
30437,Gastro-esophageal reflux disease with esophagitis,108,3.512605042,1,3.669485842,4.087774295
30753,Esophagitis,40,3.404761905,0,3.658411453,3.5
31317,Dysphagia,161,3.573033708,1,3.513704315,5.073076923
31610,Disorder of esophagus,54,2.947368421,0.5,3.456831719,2.408805031
31821,Disorder of endocrine system,26,2.793103448,0.5,4.214444028,4.405940594
31967,Nausea,203,3.292792793,1,4.313377853,4.593575419
72404,Joint stiffness,24,3.481481481,1,4.199508253,5.511627907
72418,Scoliosis deformity of spine,39,2.666666667,0,4.015657614,5.285714286
72711,Shoulder stiff,29,3.5,2,3.415049279,14.44210526
72986,Disorder of lower leg,29,3.181818182,0,4.33140667,5.688073394
72993,"Localized, primary osteoarthritis",54,4.053571429,2,3.034681894,6.989795918
73008,Enthesopathy,63,1.941176471,0,3.442751017,2.78358209
73231,Arthralgia of temporomandibular joint,34,4.058823529,1.5,2.965036905,3.421568627
73300,Radial styloid tenosynovitis,25,2.333333333,1,5.037194987,5.757281553
73553,Arthropathy,65,2.391304348,1,3.637610691,4.797900262
73560,Calcaneal spur,22,2.75,0.5,2.806917861,3.453703704
73754,Restless legs,116,3.592,1,3.39277829,8.301960784
73819,Pain of breast,80,1.426966292,0,3.513063325,4.060606061
73840,"Localized, primary osteoarthritis of the shoulder region",109,2.825,1,3.567870175,3.685950413
74125,Inflammatory polyarthropathy,38,3.128205128,1,4.268045948,7.613445378
74130,Thoracic spondylosis without myelopathy,24,2.958333333,0,4.302847052,2.890243902
74132,Degeneration of lumbosacral intervertebral disc,41,3.888888889,1,5.009381443,3.8
74174,Urinary symptoms,28,3.2,1,4.721335117,2.123966942
74396,Temporomandibular joint disorder,31,2.705882353,0,5.252751455,4.148648649
74635,Lumbosacral radiculopathy,39,2.659090909,1,3.158007195,3.980769231
74728,Synovitis and tenosynovitis,39,2.659574468,1,2.657457106,3.355450237
74731,Hypertrophic osteoarthropathy,42,2.541666667,1,4.345221787,3.142857143
74855,Genital herpes simplex,21,3,1,2.614064524,5.5
75004,Frank hematuria,51,2.185185185,1,3.258773979,5.524475524
75036,"Localized, primary osteoarthritis of the hand",96,2.01,0,3.390760795,4.74015748
75344,Intervertebral disc disorder,25,1.88,0,2.708012802,3.308823529
75576,Irritable bowel syndrome,131,3.333333333,1,3.998047086,7.697619048
75650,Proteinuria,64,3.746478873,1,4.127163935,7.060606061
75860,Constipation,222,3.449799197,1,3.901212249,4.601029601
75865,Disorder of the urinary system,22,1.913043478,0.5,3.202069136,2.822580645
75909,Disorder of bone,486,2.895463511,1,3.235305429,6.498455201
75911,Acquired hallux valgus,45,2.416666667,0,2.578073825,4.012048193
76786,Derangement of knee,25,3.04,0,4.338586559,3.801242236
77030,Disorder of breast,114,2.276422764,0,3.451979445,3.15443038
77074,Joint pain,174,2.72972973,0,3.688686066,5.110275689
77081,Tibialis tendinitis,30,3.166666667,2,3.126453685,4.543478261
77234,Benign neoplasm of colon,97,2.633027523,2,2.973862369,4.187165775
77630,Disorder of shoulder,86,2.820224719,0.5,3.520042283,3.628647215
77635,Disorder of hand,63,4.424242424,2,4.728469408,3.924657534
77646,Disorder of bone and articular cartilage,104,2.822429907,1,3.143743268,5.181518152
77670,Chest pain,512,2.787430684,1,3.888660742,7.015243902
77963,Achilles tendinitis,45,2.5,1,4.330651851,5.727941176
77965,Acquired trigger finger,63,2.787878788,1,3.758111214,7.101522843
78097,Secondary malignant neoplasm of bone,21,4.80952381,2,5.275279275,45.17241379
78200,Benign mammary dysplasia,21,4.375,1,3.106061662,6.96969697
78228,Joint derangement,34,2.833333333,1.5,3.85383574,4.462121212
78232,Shoulder joint pain,448,3.199143469,1,3.787336107,9.432134996
78472,Microscopic hematuria,49,2.769230769,1,3.593976442,4.578125
78473,Solitary cyst of breast,41,2.159090909,0,2.483850276,2.710382514
78474,Hypertrophy of breast,30,3.612903226,1,3.118355004,4.928
78505,"Localized, primary osteoarthritis of the ankle and/or foot",87,2.717171717,1,3.23576809,3.285087719
78508,Arthralgia of the ankle and/or foot,177,2.924324324,1,3.899950943,5.881773399
78619,Contusion of knee,24,1.962962963,-0.5,2.686520297,2.073770492
78804,Fibrocystic disease of breast,48,2.392156863,0,2.38112778,4.010380623
79145,Ehlers-Danlos syndrome,26,4.703703704,3,5.044418088,37.91111111
79864,Hematuria syndrome,102,2.690909091,0,3.536220217,3.648192771
79908,Muscle weakness,87,3.27173913,2,3.791160106,8.683018868
79916,Acquired hallux rigidus,26,3.115384615,0.5,3.849475489,4.0125
80180,Osteoarthritis,291,3.122580645,1,3.513412757,5.493184634
80187,Medial epicondylitis,20,1.857142857,0,3.614299088,4.514705882
80189,Displacement of lumbar intervertebral disc without myelopathy,24,3,0.5,3.223273608,4.594117647
80242,Current tear of medial cartilage AND/OR meniscus of knee,47,3.538461538,1,3.380988366,3.905405405
80502,Osteoporosis,236,3.5,1,3.362343708,11.96730769
80767,Breast lump,99,2.315315315,0,3.234050185,5.662316476
80809,Rheumatoid arthritis,61,4.651515152,3,3.663212481,33.19333333
80813,Lumbosacral spondylosis without myelopathy,71,3.135135135,1,3.968386137,4.690140845
80816,Degeneration of intervertebral disc,29,3.193548387,2,4.405549568,4.534883721
80824,Senile osteoporosis,51,3.634615385,2,2.300894967,8.572815534
81151,Sprain of ankle,66,3.027777778,1,3.205327733,4.104712042
81378,Chondromalacia of patella,26,1.666666667,0,3.003587598,3.754010695
81379,Lateral epicondylitis,57,2.393442623,0,3.440962883,5.245421245
